vendor_id,name
212753d2,201. Japanese Garlic Karaage Don
212753d2,204. Chicken Cutlet Don
212753d2,206. Beef Sukiyaki Don
212753d2,209. Japanese Beef Yakiniku Don
212753d2,210. Teriyaki Salmon Don
21830106,Chicken Cutlet with Rice
21830106,Chicken Chop
21830106,Chicken Wings with Rice
21830106,Saba Fish with Rice
21830106,Chicken Chop with Rice
21830106,Tomato Sauce Spaghetti
21830106,Grilled Fish
21830106,Fish & Chips
ee4f2ee0,V7. Beef Noodle Soup
ee4f2ee0,V12. Summer Rolls
ee4f2ee0,V13. Spring Rolls
ee4f2ee0,V15. Vietnamese Pork Belly
b62d39b7,Diavola
b62d39b7,Cinque Formaggi
b62d39b7,Linguine Al Granchio
e33ad7ec,House Salad
e33ad7ec,Da Paolo Dolcetto
e33ad7ec,Valrhona Choc Cake
e33ad7ec,Bruschetta
642370bd,Coke
642370bd,Hare Pyaaz Ka Aloo Jeera
642370bd,Punjabi Samosa
642370bd,Butter Chicken
642370bd,Plain Naan
642370bd,Paneer Makhanwala
54a7bf39,Five Guys Shake
23c3cbb7,Chocolate Pint
23c3cbb7,Vanilla Pint
3c8b6666,Fungi Risotto
3c8b6666,Caesar
3c8b6666,Ginger Ale
31883abc,Green Curry (Mild Spicy)
31883abc,Glass Noodle Salad (Mild Spicy)
31883abc,Vegetarian Spring Rolls (6pcs)
2a89ea8c,Le Parisien (Ham & Butter Baguette)
921b38c7,Latte (Regular)
921b38c7,Latte (Large)
921b38c7,Le Parisien (Ham And Butter Baguette)
42112a93,Brisket
42112a93,Goi Cuon
389d8451,Coke
573e52c0,Original King
24f02f22,Roasted Herb Potatoes
24f02f22,Pork Souvlaki
a19fe5fa,Small 小
a19fe5fa,Large 大
f98c9e74,Kai Lan
8a54a8c1,Chicken Wing Nasi Lemak Istimewa
8a54a8c1,Kaya Toast with Butter
4fb3026a,Chicken Hor Fun 鸡丝河粉
4fb3026a,Lontong
4fb3026a,Fried Wantons 炸云吞
4fb3026a,Ayam Penyet
b00215d7,FISH’N CRISP CROISSAN'WICH® Meal
13b7a315,L3. Sambal Fish With Rice 叁峇鱼
606b0139,Peach Pie
47268716,Mee Goreng
47268716,Kway Teow Mushroom
47268716,Kway Teow Ikan Bilis
47268716,Maggie Goreng
44dcf3b2,FISH’N CRISP CROISSAN'WICH® Meal
7e704347,Small
7e704347,Medium
98788f48,Vegetarian Fried Rice with Egg
98788f48,Grilled Fish Dory
98788f48,"Fried Rice with Ham, Prawn & Egg"
98788f48,Tuna Puff
98788f48,Bacon Carbonara Pasta
98788f48,"Aglio Olio Crispy with Red Onion, Bell Pepper and Crispy Shallot"
b809d363,Spiral Fries
b809d363,Chicken Piece
b809d363,Whole Spring Plate
b809d363,Fried Bun
891b171e,Dumpling Noodle 水饺面
891b171e,Chicken Claw Noodle 凤爪面
6362d596,Seafood Fried Rice 海鲜炒饭
96f90d84,Grilled Fish 四川麻辣烤鱼
8159660f,Tofu in Thai Sweet Chili
94027f7b,Chicken Rice Combo Box A 白切鸡套餐A
6830f847,Fried Mixed Vegetable Gyoza
6830f847,QQ Tofu Bento Set
6830f847,Crispy Bean Curd Skin with Sesame Rice Set
f06df501,Baby Monster - DIY
0c5c5cc5,Special Oyako Don
9333cd5a,11. Minced Meat Noodle Dry 炸酱面干
5c63aaff,Prosperity Beef Meal
5c63aaff,Original Angus Cheeseburger
d4d4970c,Mild Spicy 小辣
9519950c,Dry Mee Siam With Chicken Wing
9519950c,Curry Chicken with Rice
e57b37bf,Plain Mee Goreng
e57b37bf,Sambal Fish
e57b37bf,Plain Rice
e57b37bf,"Small, 1 Pax"
e57b37bf,White Rice Fish Set
e57b37bf,Pappadam
faf15704,Caesar Salad With Smoked Salmon
faf15704,Beef Bolognese
faf15704,Caesar Salad With Roasted Chicken
deca3e70,Sambal Petai Shrimp Fried Rice
deca3e70,Chicken Luncheon Meat Fried Rice
deca3e70,Chicken Cutlets with BBQ Sauce Set
edd6cac1,Hokkien Noodles 福建面
edd6cac1,Salted Egg Pork Ribs Rice 咸蛋排骨饭
edd6cac1,Steamed Rice
edd6cac1,Rice with Minced Meat & Tofu 肉碎豆腐饭
edd6cac1,Homemade Honey Lemon Tea  自制蜂蜜酸干水
edd6cac1,Mee Goreng 马来炒面
edd6cac1,Gan Chao Mian Xian
edd6cac1,Singapore Fried Bee Hoon 新加坡炒米粉
29a489be,C726D. Homemade Red Bean Soy Milk
29a489be,C922D. Chicken Chop Cheese Baked Rice
29a489be,C753D. Iced HK Ying Yong
29a489be,C903D. Fish & Chips
29a489be,C901BD. Chicken Chop with Black Pepper Sauce & French Fries
29a489be,C603D. Sliced Fish Porridge 
29a489be,B8554D. Double-boiled Snow Fungus with Papaya
711c3da8,C901D. Iced Thai Milk Tea
711c3da8,C601D. Thai Basil Chicken With Rice
711c3da8,C1002D. Egg
711c3da8,C603D. Sweet & Sour Fish With Rice
711c3da8,C606D. Thai BBQ Chicken With Rice
a63b419f,500. Tom Yum Seafood Red Soup 冬炎海鲜红汤
a63b419f,700. Green Curry Vegetables 绿咖喱蔬菜
a63b419f,1200. Jasmine Rice 白米饭
519e6e17,Char Grill Chicken Chop
