customer_id,customer_geohash,order_id,vendor_id,day_of_week,order_time,order_day,chain_id,vendor_geohash,cuisine_origin,avg_vendor_rating,num_products,total_order_value,products_ordered
008ab40ac0,w21z7,9390,8ace9ccb,2,01:52:03,3 days,aece2f12,w21z7,chinese,3.5,1,0.4,Spicy中辣
008ce71183,w21zb,7057,f0d84faa,5,18:11:48,34 days,fc3b6153,w21zc,chinese,3.5,2,12.8,"Kway Teow Goreng with Petai & Prawns 虾仁臭豆炒河粉, 87. Nasi Goreng with Satay Set"
008ce71183,w21zb,7058,a23e4559,2,19:22:26,31 days,788f82f6,w21zb,american,3.8,4,14.799999999999999,"Tuna D'Licious, Spicy Chicken Pizza Baguette, Beef Lasagne..."
008ce71183,w21zb,7059,a23e4559,3,18:54:16,18 days,788f82f6,w21zb,american,3.6,4,11.6,"Tuna D'Licious, Chocolate Eclair, Tuna D'Licious..."
00ba08bab4,w21zt,347,78ce75cb,3,20:39:37,39 days,24975bf7,w21zt,american,4.5,1,3.6,McGriddles Feast
00c41737f8,w21z8,7694,8122af1e,0,11:45:41,15 days,8c51e46b,w21xx,chinese,4.0,1,1.2,Bean Curd Skin 凉拌腐竹
00c41737f8,w21z8,7695,cb8c0ad6,1,18:20:50,65 days,0baab236,w21xx,snacks,4.2,2,4.0,"Cacao Barry Medium, Cacao Barry Medium"
00e9c13b02,w21xx,7338,9813c9db,4,10:33:00,68 days,1bc87fc1,w21xx,american,3.9,4,9.600000000000001,"Texas Chicken Double Toast, 1pc Hashbrown, Chicken Bacon Club Double Toast..."
00fbd54a08,w21z7,2500,f3024b8e,5,10:09:12,20 days,816edb06,w21z7,chinese,3.9,9,26.0,"S011. Xiao Long Bao 小笼包, F001. Pan-fried Carrot Cake with Chinese Sausage 腊味萝卜糕, S002. Steamed Pork & Shrimp Dumplings 香菇滑烧卖..."
01058d1d35,w21zs,4753,5d6111ed,4,10:27:02,61 days,e3123638,w21zs,snacks,4.1,4,6.0,"Set A. Kaya Toast with Butter Set, Set A. Kaya Toast with Butter Set, Smoked Cheese French Toast with Kaya..."
01058d1d35,w21zt,4754,5d6111ed,5,10:59:20,55 days,e3123638,w21zs,snacks,4.2,2,3.1999999999999997,"Smoked Cheese French Toast with Kaya, Set A. Kaya Toast with Butter Set"
011a98398a,w21ze,4378,288a5754,1,13:29:10,44 days,24975bf7,w21ze,american,4.0,1,2.8,Sausage McGriddles with Egg Meal
011a98398a,w21ze,4379,cc43c1f6,1,00:51:39,30 days,5055ab25,w21ze,snacks,4.2,2,3.2,"You Tiao 油条, 1966 Pork Ribs Noodles 1966肉骨面"
011a98398a,w21ze,4380,cc43c1f6,4,01:18:38,47 days,5055ab25,w21ze,snacks,4.8,2,3.2,"Braised Egg 滷蛋, 1966 Pork Ribs Noodles 1966肉骨面"
011a98398a,w21ze,4381,30af632f,4,14:30:46,19 days,584139f2,w21ze,asian,4.5,1,0.8,Hakka Bean Curd 客家豆腐
011a98398a,w21ze,4383,4e8647d1,4,12:59:52,26 days,6da2c48d,w21ze,snacks,3.8,2,8.0,"Bak Kut Teh W Rice 肉骨茶饭, Hokkien Mee 福建面"
01210b2c32,w21zu,5279,0fc9a8b4,6,11:50:21,42 days,07b977bf,w21zu,italian,3.5,1,4.8,COMBO 1
01210b2c32,w21zu,5280,0fc9a8b4,2,20:30:39,80 days,07b977bf,w21zu,italian,3.5,1,4.8,COMBO 1
016eefc23f,w21zu,4719,5d031bbe,6,23:09:20,63 days,709b2c3b,w21zg,chinese,4.5,1,2.8,Laksa 叻沙
01907d6212,w21z8,7838,6a296d36,6,13:37:53,21 days,3842489b,w21z8,snacks,4.5,1,3.6,JINJJA Wings
01907d6212,w21z8,7844,53054eee,0,19:31:23,29 days,4779773f,w21xx,snacks,3.0,1,3.6,Double Fudge Brownie Ice Blended
01907d6212,w21z8,7845,592b7af5,4,11:58:03,61 days,de27a03b,w21z8,snacks,4.0,1,4.8,2pc Chix Combo
01907d6212,w21z8,7846,1e507cbd,6,20:59:19,14 days,9024181b,w21z8,chinese,4.0,1,4.0,3. Black Pepper Fish On Rice 黑椒鱼片饭
01907d6212,w21z8,7847,1e507cbd,6,20:14:12,70 days,9024181b,w21z8,chinese,4.0,1,4.0,3. Black Pepper Fish On Rice 黑椒鱼片饭
01907d6212,w21z8,7848,819b47ff,6,20:50:29,56 days,2e7411ae,w21xx,snacks,4.0,2,9.600000000000001,"Milo Toast, Oreo Choco Bomb Bingsu"
01907d6212,w21z8,7849,afe7e233,2,12:10:21,38 days,d108d44c,w21z8,snacks,4.0,1,4.8,Spicy Thai Fried Chicken Bento
01907d6212,w21z8,7850,ff4e9f74,0,12:44:56,71 days,52674c16,w21z8,snacks,4.0,1,3.2,Funny Twister
01907d6212,w21z8,7851,d1a40d9d,5,10:32:01,62 days,04982b65,w21z8,chinese,4.5,4,10.0,"N1. Signature Beef Boat Noodle, Chicken Ham & Cheese Muffin, Chicken Ham & Cheese Toast..."
01a45b2349,w21z3,3566,6af208da,1,11:01:25,16 days,83086854,w21z3,snacks,3.7,3,9.2,"Crispy Sweet Potato Fries 脆皮地瓜, Taiwan Sweet and Sour Chicken Rice 台式酸甜鸡饭, Salted Crispy Chicken Rice 盐酥鸡饭"
01a45b2349,w21z3,3567,f12a5bb5,1,10:52:13,16 days,6e905529,w21z3,snacks,4.0,2,4.0,"Golden Oolong Tea - Large, Hokkaido Chizu Matcha - Large"
01a45b2349,w21z3,3568,7308972e,5,11:55:33,55 days,d2786168,w21z3,mexican,3.5,1,0.0,Free Heineken 0.0
021dbc37a4,w21zu,1755,b6e77885,1,09:46:55,58 days,3ae5716f,w21zu,snacks,4.0,1,2.4,American Twister
021fa24bb9,w21z2,3716,733c4a00,5,18:57:50,83 days,a7913ad7,w21z8,indian,4.0,2,6.0,"Nasi, Chicken Briyani"
